Judul,Perusahaan,Lokasi,Jurusan
Internship - Fungsi Business Development - Gas Derivatives Business,Perusahaan Gas Negara,"None, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik Kimia, Teknik Industri, Manajemen"
Internship - Fungsi Corporate Finance - Wealth Management,Perusahaan Gas Negara,"None, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Manajemen, Akuntansi"
Branch Business Development Intern,"PT. Bank Mandiri (Persero), Tbk","Jl. Mangga Besar Raya No. 12 Kel. Maphar Kec. Tamansari Kota Administrasi Jakarta Barat, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Akuntansi, Ekonomi, Ilmu Komunikasi, Teknik Industri, Statistika"
Project Management Officer,Solusi Tiga Selaras,"Wisma Staco Lt. 7, Jl. Casablanca Kav. 18, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Administrasi Bisnis, Ilmu Administrasi Bisnis, Sistem Informasi, Manajemen Administrasi"
HSE Admin,PT Rekayasa Engineering,"Jl. KAlibata Timur II RT/RW. 002/008 No.27, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja, Kesehatan Lingkungan"
HRM Officer,PT Rekayasa Engineering,"Jl. KAlibata Timur II RT/RW. 002/008 No.27, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Manajemen, Teknik Industri"
IT Development Intern,Sigap Prima Astrea,"Gedung Koperasi Astra Jl. Jenderal Ahmad Yani No. 66 Cempaka Putih Timur Jakarta Pusat 10510, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Teknik Komputer Dan Jaringan"
Corporate Communication Staff,Widjajatunggal Sejahtera,"GEDUNG MENARA DUTA LANTAI 3, JL. H.R. RASUNA SAID KAV. B-9, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Hubungan Internasional, Hubungan Masyarakat Dan Komunikasi Digital, Pemasaran Digital, Ekonomi Sumberdaya Dan Lingkungan"
HR Staff,Widjajatunggal Sejahtera,"GEDUNG MENARA DUTA LANTAI 3, JL. H.R. RASUNA SAID KAV. B-9, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Manajemen, Ilmu Hukum, Administrasi Bisnis, Akuntansi Keuangan"
Inventaris IT,Widjajatunggal Sejahtera,"GEDUNG MENARA DUTA LANTAI 3, JL. H.R. RASUNA SAID KAV. B-9, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Pendidikan Teknologi Informatika dan Komputer, Pendidikan Teknologi Informasi dan Komunikasi, Pendidikan Sistem dan Teknologi Informasi, Teknologi Informasi, Teknologi Informatika Multimedia Digital"
Employer Branding & HR Admin,PT. Justika Siar Publika,"GEDUNG ED PREMIER LT. 9  JL. TB. SIMATUPANG NO. 5 JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Ilmu Komunikasi, Komunikasi Digital dan Media, Manajemen Pemasaran/Marketing"
Electrical Engineer,PT Tracon Industri,"Rekayasa Office Kompleks Jl.Kalibata Timur 1 No.36 RT002 RW008, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Teknik Elektro
Administrasi Proposal tender,PT Tracon Industri,"Rekayasa Office Kompleks Jl.Kalibata Timur 1 No.36 RT002 RW008, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi BIsnis, Manajemen, Ekonomi"
Intrument Engineer,PT Tracon Industri,"Rekayasa Office Kompleks Jl.Kalibata Timur 1 No.36 RT002 RW008, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Fisika, Elektronika Instrumentasi"
Customer Experience,PT. Justika Siar Publika,"GEDUNG ED PREMIER LT. 9  JL. TB. SIMATUPANG NO. 5 JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Hukum
Partnership Development Associate,PT. Kode Evolusi Bangsa,"CITYLOFTS SUDIRMAN UNIT 1512 JALAN KH. MAS
MANSYUR NOMOR 121, Kel. Karet Tengsin, Kec. Tanah Abang,
Kota Adm. Jakarta Pusat, Prov. DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Pemasaran Internasional, Manajemen Pemasaran/Marketing, Pemasaran Digital, Manajemen Pemasaran, Bisnis Digital"
Asisten Penelaah Teknis Kebijakan,BPH Migas,"Gedung BPH Migas jalan Kapten Tendean 28 Mampang Prapatan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Akuntansi
asisten Penelaah Teknis Kebijakan,BPH Migas,"Gedung BPH Migas jalan Kapten Tendean 28 Mampang Prapatan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Industri, Ilmu Administrasi Negara"
Asisten Penata Kelola Kegiatan Usaha Hilir Minyak dan Gas Bumi,BPH Migas,"Gedung BPH Migas jalan Kapten Tendean 28 Mampang Prapatan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik  Industri, Teknik Kimia"
